customerskey|loaddate|enddate|extractdate|recordsource|hashdiff|customernumber|customername|contactlastname|contactfirstname|phone|addressline1|addressline2|city|state|postalcode|country|salesrepemployeenumber|creditlimit|createdate|updatedate
2A9A34567E142413194DFEB7E1CC5583|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|185B894729DE7FA984EB3F0AB8C8CACF|131|Land of Toys Inc.|Lee|Kwai|2125557818|897 Long Airport Avenue|NULL|NYC|NY|10022|USA|1323|114900.00|2015-01-01|2015-01-01
CD8F7B1F0F39C689E498428DC1BD2A99|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|F8CCFFE2555875903C266C0EEB0EA03A|141|Euro+ Shopping Channel|Freyre|Diego |(91) 555 94 44|C/ Moralzarzal, 86|NULL|Madrid|NULL|28034|Spain|1370|227600.00|2015-01-01|2015-01-01
E4F9D08A7B9CF590FA6AE8DE8FBD8021|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|26F57FD14A4D8306DEB8DF5075ADA31C|144|Volvo Model Replicas, Co|Berglund|Christina |0921-12 3555|Berguvsvägen  8|NULL|Luleå|NULL|S-958 22|Sweden|1504|53100.00|2015-01-01|2015-01-01
9A75EA63C296EFCBC6A621EA49ED03A2|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|4977E9936641AFFAFBA4F02DFF2C6469|145|Danish Wholesale Imports|Petersen|Jytte |31 12 3555|Vinbæltet 34|NULL|Kobenhavn|NULL|1734|Denmark|1401|83400.00|2015-01-01|2015-01-01
9179BC80B72EC71C58C84D3E91595A05|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|95BA9358E5D18A5E2EDA4682CB332A04|146|Saveley & Henriot, Co.|Saveley|Mary |78.32.5555|2, rue du Commerce|NULL|Lyon|NULL|69004|France|1337|123900.00|2015-01-01|2015-01-01
394786D791C4C4C8B0E1B0AB164502E5|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|EBD69057C9D4D32A26F3E4787019D640|148|Dragon Souveniers, Ltd.|Natividad|Eric|+65 221 7555|Bronz Sok.|Bronz Apt. 3/6 Tesvikiye|Singapore|NULL|079903|Singapore|1621|103800.00|2015-01-01|2015-01-01
D43D2CAD1F5A4FDFACBFA690917E5211|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|FDFC5959CC1CDFC32DA735C00FC75A70|151|Muscle Machine Inc|Young|Jeff|2125557413|4092 Furth Circle|Suite 400|NYC|NY|10022|USA|1286|138500.00|2015-01-01|2015-01-01
7BD61A8FBD0964332F58862E2F17C4F6|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|E90C5BE734A8D683FD64975E3602FDFC|157|Diecast Classics Inc.|Leong|Kelvin|2155551555|7586 Pompton St.|NULL|Allentown|PA|70267|USA|1216|100600.00|2015-01-01|2015-01-01
C0BDA60CBCFBBF8E4615E4F297F52820|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|145144B0DEEA301D4C2BB462901BD2CF|161|Technics Stores Inc.|Hashimoto|Juri|6505556809|9408 Furth Circle|NULL|Burlingame|CA|94217|USA|1165|84600.00|2015-01-01|2015-01-01
49961DF6D0D0B5C5922A29FFD4AA240B|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|03C2D23D7D3149589F9EB50C3F35D678|166|Handji Gifts& Co|Victorino|Wendy|+65 224 1555|106 Linden Road Sandown|2nd Floor|Singapore|NULL|069045|Singapore|1612|97900.00|2015-01-01|2015-01-01
B40EA101BB1F7E1951C23255D9185B4F|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|0B453C264CF7BEDA0DFC0C68A26F11F0|167|Herkku Gifts|Oeztan|Veysel|+47 2267 3215|Brehmen St. 121|PR 334 Sentrum|Bergen|NULL|N 5804|Norway  |1504|96800.00|2015-01-01|2015-01-01
EB39840074FC955EC09C33DB7CFD627B|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|C252B89B18839FD5390BBAE5557F21A2|168|American Souvenirs Inc|Franco|Keith|2035557845|149 Spinnaker Dr.|Suite 101|New Haven|CT|97823|USA|1286|0.00|2015-01-01|2015-01-01
09A609C724D290158156DB3DE7E3E076|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|9972B6123FF9673CCB682E627A3C75A5|169|Porto Imports Co.|de Castro|Isabel |(1) 356-5555|Estrada da saúde n. 58|NULL|Lisboa|NULL|1756|Portugal|NULL|0.00|2015-01-01|2015-01-01
053F30A5F57ABE101688ABCDB34F95AB|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|AD4B78ADE9090FFE7342A6A3B870A14C|171|Daedalus Designs Imports|Rancé|Martine |20.16.1555|184, chaussée de Tournai|NULL|Lille|NULL|59000|France|1370|82900.00|2015-01-01|2015-01-01
A2579F0770BEDB9881F055EE48484CA5|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|9596E7563B57D7A208AAA1E40806467D|172|La Corne D'abondance, Co.|Bertrand|Marie|(1) 42.34.2555|265, boulevard Charonne|NULL|Paris|NULL|75012|France|1337|84300.00|2015-01-01|2015-01-01
603DAD414872714C2DA23F5152067FC5|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|5B2F9D917A5B9D27A95486915F49ED4A|173|Cambridge Collectables Co.|Tseng|Jerry|6175555555|4658 Baden Av.|NULL|Cambridge|MA|51247|USA|1188|43400.00|2015-01-01|2015-01-01
4E1CBC46D375501AF8DDCC3AE3BAE7A2|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|5A96237814BE719871E4BE141C6AEE34|175|Gift Depot Inc.|King|Julie|2035552570|25593 South Bay Ln.|NULL|Bridgewater|CT|97562|USA|1323|84300.00|2015-01-01|2015-01-01
F632E942A4B57B0C1380C73DA22BBFFD|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|8F19E1F06C155E0ECBF6983620FC04DA|177|Osaka Souveniers Co.|Kentary|Mory|+81 06 6342 5555|1-6-20 Dojima|NULL|Kita-ku|Osaka| 530-0003|Japan|1621|81200.00|2015-01-01|2015-01-01
CC24BB40A6B1BBB6343328BC97302A09|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|B4F600C043B87575AA91406C833D9548|181|Vitachrome Inc.|Frick|Michael|2125551500|2678 Kingston Rd.|Suite 101|NYC|NY|10022|USA|1286|76400.00|2015-01-01|2015-01-01
0A2BBEF62F0881959D3E0CE84CB52130|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|5AAF356012F00168A3A0F4828D9FBB39|186|Toys of Finland, Co.|Karttunen|Matti|90-224 8555|Keskuskatu 45|NULL|Helsinki|NULL|21240|Finland|1501|96500.00|2015-01-01|2015-01-01
2BAEE22BAF7F619D535A09422F26E389|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|D176E02892951BD4BE3EFCF7D6D24973|187|AV Stores, Co.|Ashworth|Rachel|(171) 555-1555|Fauntleroy Circus|NULL|Manchester|NULL|EC2 5NT|UK|1501|136800.00|2015-01-01|2015-01-01
E1577FA87765A50C55C2BA12A3C5A7E4|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|5A4DDF1B412A1E2C5258E0DF98D86DD3|189|Clover Collections, Co.|Cassidy|Dean|+353 1862 1555|25 Maiden Lane|Floor No. 4|Dublin|NULL|2|Ireland|1504|69400.00|2015-01-01|2015-01-01
89FA91254FEEA59CA84087DE8ED2FDCC|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|884D75E7A7D8F9F98711D31BCD2E60B9|198|Auto-Moto Classics Inc.|Taylor|Leslie|6175558428|16780 Pompton St.|NULL|Brickhaven|MA|58339|USA|1216|23000.00|2015-01-01|2015-01-01
68FF58B52AF2F6DE173557650678F5FA|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|336BE2161D356C10AF63FBB2A7321204|201|UK Collectables, Ltd.|Devon|Elizabeth|(171) 555-2282|12, Berkeley Gardens Blvd|NULL|Liverpool|NULL|WX1 6LT|UK|1501|92700.00|2015-01-01|2015-01-01
6F5AF4AB66105B161205DFA53C3411C4|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|9C761C2522F169E2646CD08BAC15D2A4|202|Canadian Gift Exchange Network|Tamuri|Yoshi |(604) 555-3392|1900 Oak St.|NULL|Vancouver|BC|V3F 2K1|Canada|1323|90300.00|2015-01-01|2015-01-01
C5FB16FABE6AC085EF14DD270771978B|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|D2F5645124351C93062414B02622C18E|204|Online Mini Collectables|Barajas|Miguel|6175557555|7635 Spinnaker Dr.|NULL|Brickhaven|MA|58339|USA|1188|68700.00|2015-01-01|2015-01-01
1B3C45D3F7594800459FB6D6EF0784B9|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|72B004D312A9912B33135F92B68B514A|205|Toys4GrownUps.com|Young|Julie|6265557265|78934 Hillside Dr.|NULL|Pasadena|CA|90003|USA|1166|90700.00|2015-01-01|2015-01-01
493160C079CAE525EDFBB36293D432A8|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|2113CFAF4FF8DA0B7E4F3957F41057A4|206|Asian Shopping Network, Co|Walker|Brydey|+612 9411 1555|Suntec Tower Three|8 Temasek|Singapore|NULL|038988|Singapore|NULL|0.00|2015-01-01|2015-01-01
DFF5732DC173B6D9231B2889F88F09DF|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|2187DEB5B333488BAEBAF1E27DE9118F|209|Mini Caravy|Citeaux|Frédérique |88.60.1555|24, place Kléber|NULL|Strasbourg|NULL|67000|France|1370|53800.00|2015-01-01|2015-01-01
63E132C5A1E81D194072303F61711F20|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|20E688666E36CB13CCF3EB7641052C9E|211|King Kong Collectables, Co.|Gao|Mike|+852 2251 1555|Bank of China Tower|1 Garden Road|Central Hong Kong|NULL|NULL|Hong Kong|1621|58600.00|2015-01-01|2015-01-01
FFF0E117BCBC7D4E2DF50050D462E3FB|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|95F36F6DE8DCC3027485E8DD8BF53B8E|216|Enaco Distributors|Saavedra|Eduardo |(93) 203 4555|Rambla de Cataluña, 23|NULL|Barcelona|NULL|08022|Spain|1702|60300.00|2015-01-01|2015-01-01
A05259BCB9C7C07A789EBB3AA212CFCD|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|696CA03937FFED6E4C95606B68E1A31E|219|Boards & Toys Co.|Young|Mary|3105552373|4097 Douglas Av.|NULL|Glendale|CA|92561|USA|1166|11000.00|2015-01-01|2015-01-01
E2B0DA0D597435BDD11BF38136C5FC65|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|F271733B9AFA87421150E10F559CC15C|223|Natürlich Autos|Kloss|Horst |0372-555188|Taucherstraße 10|NULL|Cunewalde|NULL|01307|Germany|NULL|0.00|2015-01-01|2015-01-01
88964F97BE967BC16B4B2866114A748C|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|0105F3156B119A7FC1FC8C00C1583265|227|Heintze Collectables|Ibsen|Palle|86 21 3555|Smagsloget 45|NULL|Århus|NULL|8200|Denmark|1401|120800.00|2015-01-01|2015-01-01
9143C9675E82845120CA0B18627B6CD1|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|F138649CB35EC60ECA6613C1235BA07F|233|Québec Home Shopping Network|Fresnière|Jean |(514) 555-8054|43 rue St. Laurent|NULL|Montréal|Québec|H1J 1C3|Canada|1286|48700.00|2015-01-01|2015-01-01
47935CB9DA8D22D3AE2D22D71FC73E7A|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|87CC65EE3E8188062514FC976FC3EC9F|237|ANG Resellers|Camino|Alejandra |(91) 745 6555|Gran Vía, 1|NULL|Madrid|NULL|28001|Spain|NULL|0.00|2015-01-01|2015-01-01
52B37B9B0B04B7FE92CBB37DA9CF1BA2|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|D4B1324F3659A7417AF010255F060E2F|239|Collectable Mini Designs Co.|Thompson|Valarie|7605558146|361 Furth Circle|NULL|San Diego|CA|91217|USA|1166|105000.00|2015-01-01|2015-01-01
B3682E3B828AC6A1A430B776AF51770A|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|6B09FCA3BDEE1453E9C6BC07D505F1E8|240|giftsbymail.co.uk|Bennett|Helen |(198) 555-8888|Garden House|Crowther Way 23|Cowes|Isle of Wight|PO31 7PJ|UK|1501|93900.00|2015-01-01|2015-01-01
E3AD703D8D66C8F267556B866EFF1BC8|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|9BCE1306A56904F2F5DFF5C68BE80DBE|242|Alpha Cognac|Roulet|Annette |61.77.6555|1 rue Alsace-Lorraine|NULL|Toulouse|NULL|31000|France|1370|61100.00|2015-01-01|2015-01-01
CA91972905C13E47394C8597F463F477|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|66751556485665931E1E52B60A4A0C02|247|Messner Shopping Network|Messner|Renate |069-0555984|Magazinweg 7|NULL|Frankfurt|NULL|60528|Germany|NULL|0.00|2015-01-01|2015-01-01
A33F7737006802CDD4F0EA53DC507842|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|72FBE16D9CB03A12EE0A0EDD93C2E8B6|249|Amica Models & Co.|Accorti|Paolo |011-4988555|Via Monte Bianco 34|NULL|Torino|NULL|10100|Italy|1401|113000.00|2015-01-01|2015-01-01
61249574B3D6FAE431906B3BE1D503D3|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|EA2108AB801048418FD7D1DCDA1240B5|250|Lyon Souveniers|Da Silva|Daniel|+33 1 46 62 7555|27 rue du Colonel Pierre Avia|NULL|Paris|NULL|75508|France|1337|68100.00|2015-01-01|2015-01-01
70A2405E4C31E7E1C12DC9A7CAA43BF6|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|B317E5C66E4630AF6120D377A4217A46|256|Auto Associés & Cie.|Tonini|Daniel |30.59.8555|67, avenue de l'Europe|NULL|Versailles|NULL|78000|France|1370|77900.00|2015-01-01|2015-01-01
6F541DCE51A37462A3710601451FB6F4|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|5A477E5981B79079EACE0D5B4510B59D|259|Toms Spezialitäten, Ltd|Pfalzheim|Henriette |0221-5554327|Mehrheimerstr. 369|NULL|Köln|NULL|50739|Germany|1504|120400.00|2015-01-01|2015-01-01
9C36FD4E5F5F66DFDD483D0A1277EF1C|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|C8BCF3ED56F898081B09CDF1F6987EE8|260|Royal Canadian Collectables, Ltd.|Lincoln|Elizabeth |(604) 555-4555|23 Tsawassen Blvd.|NULL|Tsawassen|BC|T2F 8M4|Canada|1323|89600.00|2015-01-01|2015-01-01
A97B48A084D302145F255201419357B7|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|742886D7FD9A774265BCE99AEB13EC8E|273|Franken Gifts, Co|Franken|Peter |089-0877555|Berliner Platz 43|NULL|München|NULL|80805|Germany|NULL|0.00|2015-01-01|2015-01-01
C6E33AA514C94AEC0CEAFAC31BFEAB3C|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|CF7E7C4C7B1074C8AD33B886BC413C4C|276|Anna's Decorations, Ltd|O'Hara|Anna|02 9936 8555|201 Miller Street|Level 15|North Sydney|NSW|2060|Australia|1611|107800.00|2015-01-01|2015-01-01
6F9C08CBF8465AB59DF7DAC2FB8E19F0|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|10C776BCBA3302F9A827B00E70841F7E|278|Rovelli Gifts|Rovelli|Giovanni |035-640555|Via Ludovico il Moro 22|NULL|Bergamo|NULL|24100|Italy|1401|119600.00|2015-01-01|2015-01-01
4A664586A659CAF9B5E18A79CB3476B2|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|51DA9F710F37F142651145362979809C|282|Souveniers And Things Co.|Huxley|Adrian|+61 2 9495 8555|Monitor Money Building|815 Pacific Hwy|Chatswood|NSW|2067|Australia|1611|93300.00|2015-01-01|2015-01-01
61DB7FFF36E5E48CB7AB02E66C5BBE0F|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|68B62B0437F74CB8E732B2C93C1EA73D|286|Marta's Replicas Co.|Hernandez|Marta|6175558555|39323 Spinnaker Dr.|NULL|Cambridge|MA|51247|USA|1216|123700.00|2015-01-01|2015-01-01
12C1ADA9AC99600854A8860EBEA89E2F|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|B1FFC328856E06EDC0F774B5FA998D26|293|BG&E Collectables|Harrison|Ed|+41 26 425 50 01|Rte des Arsenaux 41 |NULL|Fribourg|NULL|1700|Switzerland|NULL|0.00|2015-01-01|2015-01-01
F9312512AEB3A956B16709706A64E540|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|12FDC64BC11BE0198A29437AA1F17B4D|298|Vida Sport, Ltd|Holz|Mihael|0897-034555|Grenzacherweg 237|NULL|Genève|NULL|1203|Switzerland|1702|141300.00|2015-01-01|2015-01-01
14C6057EAC26728B9926151B6FC49B57|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|02582FB01810985207DF328AEA4D8AE5|299|Norway Gifts By Mail, Co.|Klaeboe|Jan|+47 2212 1555|Drammensveien 126A|PB 211 Sentrum|Oslo|NULL|N 0106|Norway  |1504|95100.00|2015-01-01|2015-01-01
DB4B3133DFB2A7A85A66858E22208007|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|51E3402C8D980F9E3E9555656AA989B5|303|Schuyler Imports|Schuyler|Bradley|+31 20 491 9555|Kingsfordweg 151|NULL|Amsterdam|NULL|1043 GR|Netherlands|NULL|0.00|2015-01-01|2015-01-01
FA89964F999FA757EBACDCAA552EA980|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|546F00FD0AB67E197B3134E9AC2D5437|307|Der Hund Imports|Andersen|Mel|030-0074555|Obere Str. 57|NULL|Berlin|NULL|12209|Germany|NULL|0.00|2015-01-01|2015-01-01
B823D59742D022CA49154CD6401B2C1A|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|5C00A6519A5807CEE5C66EDE252C652C|311|Oulu Toy Supplies, Inc.|Koskitalo|Pirkko|981-443655|Torikatu 38|NULL|Oulu|NULL|90110|Finland|1501|90500.00|2015-01-01|2015-01-01
2B50A529E93C13304F3C4C870D9EDD59|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|6E01F75D39BA96A560A99F2B899773FD|314|Petit Auto|Dewey|Catherine |(02) 5554 67|Rue Joseph-Bens 532|NULL|Bruxelles|NULL|B-1180|Belgium|1401|79900.00|2015-01-01|2015-01-01
984F0AD25FE773422E98C61EF1B2FDEF|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|A24073E95BFD45AC67788B1F325E9456|319|Mini Classics|Frick|Steve|9145554562|3758 North Pendale Street|NULL|White Plains|NY|24067|USA|1323|102700.00|2015-01-01|2015-01-01
765C7FC8D8C6850C49DAEA4D9F69CF4A|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|A2C068D7A00BC8C72E452FBE2E861635|320|Mini Creations Ltd.|Huang|Wing|5085559555|4575 Hillside Dr.|NULL|New Bedford|MA|50553|USA|1188|94500.00|2015-01-01|2015-01-01
2C7706EAAF79FC2997819A20D2D61615|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|00447994EA180385F4C1660A3D9335DA|321|Corporate Gift Ideas Co.|Brown|Julie|6505551386|7734 Strong St.|NULL|San Francisco|CA|94217|USA|1165|105000.00|2015-01-01|2015-01-01
E75BB0A5D2AEEAE097AD608FE06D51B2|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|BCD4AC819A86E09B2944DBF159E80489|323|Down Under Souveniers, Inc|Graham|Mike|+64 9 312 5555|162-164 Grafton Road|Level 2|Auckland  |NULL|NULL|New Zealand|1612|88000.00|2015-01-01|2015-01-01
1CDCC7107B3BA69B81FFB18AD3B32670|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|64B0D3795417D311AFED65630FC277EC|324|Stylish Desk Decors, Co.|Brown|Ann |(171) 555-0297|35 King George|NULL|London|NULL|WX3 6FW|UK|1501|77000.00|2015-01-01|2015-01-01
91838686F598A9E6F5D8BEE9CB5383ED|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|C72A60C2C71F030CE74848AA28A9648A|328|Tekni Collectables Inc.|Brown|William|2015559350|7476 Moss Rd.|NULL|Newark|NJ|94019|USA|1323|43000.00|2015-01-01|2015-01-01
78A50A9A86D6B4E8B3893046C7A1CE01|1900-01-01T00:00:00|9999-01-01T00:00:00|2023-08-25T14:40:14.041962-04:00|KWS.customers|0C73B37C481058B15ECFFB671A89D5C1|333|Australian Gift Network, Co|Calaghan|Ben|61-7-3844-6555|31 Duncan St. West End|NULL|South Brisbane|Queensland|4101|Australia|1611|51600.00|2015-01-01|2015-01-01
