employeeskey|loaddate|recordsource|extractdate|hashdiff|employeenumber|firstname|lastname|extension|jobtitle|email|officecode|reportsto|createdate|updatedate
7A6A74CBE87BC60030A4BD041DD47B78|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:32.389000-04:00|9C77F42E947D08C632AC9A8C64950B4F|1611|Andy|Fixter|x101|Sales Rep|afixter@classicmodelcars.com|6|1088|2015-01-01|2015-01-01
8A1E808B55FDE9455CB3D8857ED88389|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:32.389000-04:00|8D9A0CBA2D38265C359FDDB47C56C97D|1076|Jeff|Firrelli|x9273|VP Marketing|jfirrelli@classicmodelcars.com|1|1002|2015-01-01|2015-01-01
9701A1C165DD9420816BFEC5EDD6C2B1|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:32.389000-04:00|23041C9372F91D96F43039FD6DD314CE|1401|Pamela|Castillo|x2759|Sales Rep|pcastillo@classicmodelcars.com|4|1102|2015-01-01|2015-01-01
A3FB4FBF9A6F9CF09166AA9C20CBC1AD|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:32.389000-04:00|0AF99DED3C9BF7AF93F86489A139EFED|1165|Leslie|Jennings|x3291|Sales Rep|ljennings@classicmodelcars.com|1|1143|2015-01-01|2015-01-01
A981F2B708044D6FB4A71A1463242520|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:32.389000-04:00|61C8A4371D6E1FD3CC978B41DDECD5AF|1625|Yoshimi|Kato|x102|Sales Rep|ykato@classicmodelcars.com|5|1621|2015-01-01|2015-01-01
B1563A78EC59337587F6AB6397699AFC|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:32.389000-04:00|358D15E7FE3598BD634A6551EB3512DC|1088|William|Patterson|x4871|Sales Manager (APAC)|wpatterson@classicmodelcars.com|6|1056|2015-01-01|2015-01-01
B9F94C77652C9A76FC8A442748CD54BD|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:32.389000-04:00|886A663108470C6134305A37B6AD5AF9|1702|Martin|Gerard|x2312|Sales Rep|mgerard@classicmodelcars.com|4|1102|2015-01-01|2015-01-01
C0A271BC0ECB776A094786474322CB82|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:32.389000-04:00|8B136E311ADBC61DC6DD97860723C60F|1286|Foon Yue|Tseng|x2248|Sales Rep|ftseng@classicmodelcars.com|3|1143|2015-01-01|2015-01-01
C44E503833B64E9F27197A484F4257C0|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:32.389000-04:00|B5382B0DD0D1508D4C5C5FAF93B73155|1188|Julie|Firrelli|x2173|Sales Rep|jfirrelli@classicmodelcars.com|2|1143|2015-01-01|2015-01-01
C667D53ACD899A97A85DE0C201BA99BE|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:32.389000-04:00|395474ECF6B285A8A83B4B01110434ED|1102|Gerard|Bondur|x5408|Sale Manager (EMEA)|gbondur@classicmodelcars.com|4|1056|2015-01-01|2015-01-01
D1DC3A8270A6F9394F88847D7F0050CF|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:32.389000-04:00|7434D0B65A136B0CE483C46CE3A097B5|1619|Tom|King|x103|Sales Rep|tking@classicmodelcars.com|6|1088|2015-01-01|2015-01-01
D1EE59E20AD01CEDC15F5118A7626099|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:32.389000-04:00|5874CCFD72AFB0200053A5A026C49659|1370|Gerard|Hernandez|x2028|Sales Rep|ghernande@classicmodelcars.com|4|1102|2015-01-01|2015-01-01
E48E13207341B6BFFB7FB1622282247B|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:32.389000-04:00|99D749AB299E4876BD238CABF0F2264F|1337|Loui|Bondur|x6493|Sales Rep|lbondur@classicmodelcars.com|4|1102|2015-01-01|2015-01-01
FBA9D88164F3E2D9109EE770223212A0|2023-08-25T14:39:29.750000|KWS.employees|2023-08-25T14:44:32.389000-04:00|31B135556D64C726468B828F82C867A5|1002|Diane|Murphy|x5800|President|dmurphy@classicmodelcars.com|1|NULL|2015-01-01|2015-01-01
